layer_type,layer_index,I_Z_Y,I_dZ_Y
H,0,0.5597413719019576,
H,1,0.562431272706229,0.5635794582749416
H,2,0.49517359987638554,0.4488996949769576
H,3,0.4320567406996636,0.477452095198609
L,0,0.5146721530365949,
L,1,0.5300364963332079,0.4553714063021719
L,2,0.5513586049290459,0.5016936965602841
L,3,0.545596005053859,0.5080081367809599
