layer_type,layer_index,I_Z_Y,I_dZ_Y
H,0,0.5386748879072756,
H,1,0.49745061177368277,0.5097494501891122
H,2,0.5434764879883196,0.5046973917298413
H,3,0.5327413920743829,0.5292564379804723
L,0,0.5455015716516233,
L,1,0.5494282355622699,0.5355606652933601
L,2,0.5430825228586487,0.5266825183950812
L,3,0.5067495077263975,0.5216328502986483
