layer_type,layer_index,nll,info_proxy
H,0,2.676474044790507,-2.676474044790507
H,1,2.637955580873499,-2.637955580873499
H,2,2.6170424302700273,-2.6170424302700273
H,3,2.637422994100529,-2.637422994100529
L,0,2.6296796413497154,-2.6296796413497154
L,1,2.627624137102124,-2.627624137102124
L,2,2.610416629621016,-2.610416629621016
L,3,2.601372621172347,-2.601372621172347
