layer_type,layer_index,I_Z_Y,I_dZ_Y
H,0,0.5521636178099698,
H,1,0.5031947755859512,0.5191332879436923
H,2,0.5486953671504982,0.5078591653457345
H,3,0.5448067962080818,0.5322938472569199
L,0,0.5749956187296777,
L,1,0.5731696433625062,0.5601854501725884
L,2,0.568745066163939,0.5510014653300747
L,3,0.5373610012562405,0.5474440898391807
